Station,Lat,Long,MEDIAN,ALADIN_DUST,BSC_DREAM8b_V2,DREAM8-MACC,EMA-RegCM4,ICON-ART,LOTOSEUROS,NASA-GEOS,NCEP-NGAC,NMMB-BSC,NOA-WRF-CHEM,SILAM
ABE,7.2,3.33,-0.48,-0.29,-0.49,-0.41,-0.19,-0.52,-0.38,0.1,-0.42,-0.24,-0.44,-0.41
ABK,6.25,8.19,-0.58,-0.19,-0.79,NA,-0.23,-0.38,-0.54,0.06,-0.59,-0.3,-0.52,-0.39
ABU,9,7.2,-0.52,-0.33,-0.44,-0.36,-0.27,-0.41,-0.59,-0.09,-0.57,-0.25,-0.45,-0.55
ADO,7.6,5.2,-0.5,-0.32,-0.47,-0.55,-0.17,-0.53,-0.44,0.23,-0.52,-0.34,-0.48,-0.41
AKU,7.2,5.3,-0.61,-0.42,-0.7,-0.64,-0.23,-0.67,-0.54,0.01,-0.58,-0.39,-0.51,-0.5
ASA,6.82,6.23,-0.58,-0.37,-0.66,NA,-0.14,-0.58,-0.5,0.02,-0.58,-0.31,-0.45,-0.44
AWK,6.2,7.07,-0.42,-0.2,-0.63,NA,-0.18,-0.32,-0.4,0.04,-0.52,-0.09,-0.42,-0.4
BAU,10.28,9.82,-0.62,-0.52,-0.61,-0.6,-0.54,-0.59,-0.64,0.14,-0.65,-0.58,-0.6,-0.62
BEN,6.33,5.6,-0.55,-0.3,-0.59,NA,-0.12,-0.57,-0.51,0.14,-0.49,-0.31,-0.51,-0.4
BID,9.8,6,-0.66,-0.35,-0.51,-0.46,-0.3,-0.42,-0.52,0.04,-0.59,-0.43,-0.43,-0.59
CAL,4.97,8.35,-0.42,-0.22,-0.46,NA,-0.16,-0.4,-0.35,0.09,-0.38,-0.3,-0.3,-0.24
DUT,11.78,9.33,-0.76,-0.54,-0.7,-0.73,-0.74,-0.73,-0.79,0.12,-0.73,-0.77,-0.65,-0.77
ENU,6.5,7,-0.43,-0.24,-0.67,NA,-0.09,-0.32,-0.5,0.06,-0.51,-0.2,-0.39,-0.44
GOM,10.27,11.17,-0.72,-0.59,-0.68,-0.74,-0.66,-0.71,-0.7,0.17,-0.74,-0.77,-0.68,-0.68
GUS,12.17,6.77,-0.67,-0.42,-0.66,-0.64,-0.5,-0.64,-0.6,0,-0.61,-0.64,-0.61,-0.62
IBA,7.43,3.9,-0.61,-0.5,-0.73,-0.55,-0.24,-0.68,-0.52,0.03,-0.53,-0.39,-0.52,-0.51
IJE,6.83,3.93,-0.68,-0.35,-0.58,-0.57,-0.25,-0.66,-0.56,0.13,-0.65,-0.31,-0.5,-0.59
IKE,6.58,3.33,-0.63,-0.28,-0.58,-0.49,-0.21,-0.67,-0.68,0.1,-0.62,-0.3,-0.57,-0.58
IKO,5.97,8.72,-0.59,-0.14,-0.52,NA,-0.33,-0.62,-0.53,0.05,-0.36,-0.17,-0.42,-0.44
