Lat,Long,Station,r_value,p_value,p
7.2,3.33,ABE,-0.38,0.0,2
6.25,8.19,ABK,-0.54,0.0,2
9.0,7.2,ABU,-0.59,0.0,2
7.6,5.2,ADO,-0.44,0.0,2
7.2,5.3,AKU,-0.54,0.0,2
6.82,6.23,ASA,-0.5,0.0,2
6.2,7.07,AWK,-0.4,0.0,2
10.28,9.82,BAU,-0.64,0.0,2
6.33,5.6,BEN,-0.51,0.0,2
9.8,6.0,BID,-0.52,0.0,2
4.97,8.35,CAL,-0.35,0.0,2
11.78,9.33,DUT,-0.79,0.0,2
6.5,7.0,ENU,-0.5,0.0,2
10.27,11.17,GOM,-0.7,0.0,2
12.17,6.77,GUS,-0.6,0.0,2
7.43,3.9,IBA,-0.52,0.0,2
6.83,3.93,IJE,-0.56,0.0,2
6.58,3.33,IKE,-0.68,0.0,2
5.97,8.72,IKO,-0.53,0.0,2
8.48,4.58,ILO,-0.54,0.0,2
7.97,3.6,ISE,-0.6,0.0,2
8.9,11.42,JAL,-0.62,0.0,2
9.87,8.9,JOS,-0.6,0.0,2
10.6,7.45,KAD,-0.63,0.0,2
12.05,8.53,KAN,-0.7,0.0,2
13.02,7.68,KAT,-0.66,0.0,2
11.9,4.1,KEB,-0.57,0.0,2
8.5,8.47,LAF,-0.42,0.0,2
7.8,6.73,LOK,-0.59,0.0,2
11.85,13.08,MAI,-0.7,0.0,2
7.7,8.5,MAK,-0.49,0.0,2
9.54,6.54,MIN,-0.64,0.0,2
12.88,10.47,NGU,-0.67,0.0,2
6.57,9.04,OBU,-0.36,0.0,2
7.8,4.52,OSG,-0.53,0.0,2
5.48,7.03,OWE,-0.36,0.0,2
4.85,7.12,POR,-0.33,0.0,2
11.7,11.03,POT,-0.7,0.0,2
8.35,3.47,SHA,-0.57,0.0,2
12.92,5.2,SOK,-0.69,0.0,2
5.52,7.48,UMU,-0.46,0.0,2
5.05,7.92,UYO,-0.44,0.0,2
5.52,5.73,WAR,-0.3,0.0,2
11.0,4.5,YEL,-0.34,0.0,2
4.5,6.12,YEN,-0.41,0.0,2
9.23,12.47,YOL,-0.58,0.0,2
11.07,7.75,ZAR,-0.7,0.0,2
